"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"15-May-2017","    10399.70","    10400.45","    10293.40","    10339.75","        8650810","          793.48"
"16-May-2017","    10364.40","    10474.45","    10356.55","    10461.30","       12655349","         1247.54"
"17-May-2017","    10461.00","    10485.70","    10371.55","    10437.30","       10857943","          949.13"
"18-May-2017","    10382.40","    10705.90","    10371.70","    10545.60","       21675467","         1937.73"
"19-May-2017","    10565.75","    10574.60","    10410.30","    10456.35","       10034066","          834.12"
"22-May-2017","    10486.80","    10538.65","    10454.95","    10504.85","       14746920","         1119.22"
"23-May-2017","    10535.90","    10583.20","    10480.75","    10510.20","       16446985","         1273.92"
"24-May-2017","    10510.95","    10536.15","    10444.20","    10509.20","       13506148","         1155.84"
"25-May-2017","    10568.15","    10761.05","    10546.90","    10738.35","       21426646","         1859.77"
"26-May-2017","    10741.75","    10792.75","    10683.75","    10735.40","       10829389","          852.30"
"29-May-2017","    10611.45","    10633.30","    10467.35","    10568.30","       26040520","         1497.43"
"30-May-2017","    10535.35","    10627.25","    10496.30","    10609.00","        9555114","          692.45"
"31-May-2017","    10589.80","    10617.45","    10522.65","    10549.10","       17847773","         1393.90"
"01-Jun-2017","    10508.70","    10625.35","    10478.40","    10574.70","       11308693","          815.56"
"02-Jun-2017","    10598.50","    10647.00","    10564.10","    10608.95","       11121366","          799.21"
"05-Jun-2017","    10608.85","    10677.65","    10585.70","    10660.10","       13753290","         1154.43"
"06-Jun-2017","    10749.40","    11016.10","    10733.65","    10907.25","       25759483","         2585.35"
"07-Jun-2017","    10930.40","    10941.15","    10533.15","    10701.25","       23294764","         2146.92"
"08-Jun-2017","    10684.80","    10696.85","    10520.95","    10550.00","       12610135","         1142.26"
"09-Jun-2017","    10484.30","    10500.10","    10373.10","    10442.65","       18319698","         1610.22"
"12-Jun-2017","    10412.50","    10512.25","    10314.40","    10470.75","       13867051","         1092.81"
"13-Jun-2017","    10389.30","    10458.55","    10318.95","    10339.00","       13481063","          804.43"
"14-Jun-2017","    10370.25","    10375.60","    10291.50","    10366.10","       15017176","         1006.89"
"15-Jun-2017","    10383.90","    10385.10","    10262.05","    10278.00","       12996011","         1028.25"
"16-Jun-2017","    10262.70","    10326.95","    10161.50","    10189.50","       15362329","         1256.63"
"19-Jun-2017","    10214.15","    10247.45","    10162.00","    10197.90","       10991292","         1033.48"
"20-Jun-2017","    10220.10","    10300.70","    10177.30","    10289.95","        9812324","          909.93"
"21-Jun-2017","    10289.20","    10289.20","    10191.70","    10223.35","        8488072","          672.22"
"22-Jun-2017","    10255.75","    10354.65","    10167.10","    10199.55","       14288138","         1579.30"
"23-Jun-2017","    10226.25","    10253.40","    10155.85","    10170.60","       12771300","          924.08"
"27-Jun-2017","    10160.00","    10203.00","    10045.10","    10068.85","       16056697","         1047.00"
"28-Jun-2017","    10100.65","    10148.95","    10060.65","    10133.55","       11170361","          852.65"
"29-Jun-2017","    10183.30","    10238.95","    10105.90","    10124.40","       23244234","         1681.60"
"30-Jun-2017","    10098.55","    10173.85","    10071.55","    10155.05","       11412732","          797.32"
"03-Jul-2017","    10174.30","    10209.95","    10075.80","    10189.85","       12165229","          859.48"
"04-Jul-2017","    10215.25","    10256.55","    10150.00","    10213.40","       13714901","          979.76"
"05-Jul-2017","    10196.05","    10196.05","    10137.00","    10160.65","       11882910","          784.55"
"06-Jul-2017","    10151.55","    10198.20","    10127.05","    10148.90","       10309284","          687.06"
"07-Jul-2017","    10125.65","    10151.50","    10073.95","    10087.80","       11991157","          795.48"
"10-Jul-2017","    10214.30","    10377.10","     9946.35","    10360.10","        3287988","          268.35"
"11-Jul-2017","    10333.30","    10611.95","    10333.30","    10430.00","       19757300","         1594.58"
"12-Jul-2017","    10440.70","    10467.90","    10385.65","    10401.50","        9840425","          909.12"
"13-Jul-2017","    10428.10","    10495.50","    10394.95","    10440.55","       10353593","          948.06"
"14-Jul-2017","    10442.55","    10463.30","    10306.80","    10330.65","       20911780","         1964.52"
"17-Jul-2017","    10371.70","    10512.80","    10356.95","    10445.85","       21174519","         1263.23"
"18-Jul-2017","    10455.15","    10608.90","    10454.95","    10493.15","       14006910","         1016.52"
"19-Jul-2017","    10506.75","    10606.55","    10494.05","    10583.80","       15810830","         1221.00"
"20-Jul-2017","    10587.45","    10593.95","    10474.85","    10491.10","       25467072","         1431.87"
"21-Jul-2017","    10573.00","    10726.10","    10561.95","    10711.55","       28562397","         1435.37"
"24-Jul-2017","    10734.15","    10846.55","    10734.05","    10823.50","       18100134","         1167.24"
"25-Jul-2017","    10813.60","    10827.45","    10738.50","    10810.35","       21747091","         1438.32"
"26-Jul-2017","    10810.70","    10839.35","    10752.30","    10782.95","       73860059","         1712.51"
"27-Jul-2017","    10795.10","    10905.20","    10577.95","    10612.30","       34087930","         2507.55"
"28-Jul-2017","    10627.50","    10722.70","    10511.10","    10699.45","       16165831","         1229.59"
"31-Jul-2017","    10665.30","    10802.40","    10637.80","    10755.75","       19192516","         1595.71"
"01-Aug-2017","    10808.10","    10887.80","    10767.40","    10801.85","       25587509","         1466.87"
"02-Aug-2017","    10806.80","    10836.65","    10702.30","    10727.35","       13166676","          797.01"
"03-Aug-2017","    10736.50","    10762.50","    10672.75","    10682.50","       15166402","          970.43"
"04-Aug-2017","    10695.15","    10771.85","    10681.65","    10757.95","       13162403","          798.07"
"07-Aug-2017","    10749.70","    10757.90","    10659.45","    10678.80","       12706679","          915.53"
"08-Aug-2017","    10700.80","    10708.30","    10581.85","    10623.70","       12241343","          806.26"
"09-Aug-2017","    10607.40","    10655.35","    10594.45","    10613.55","        9389455","          587.45"
"10-Aug-2017","    10590.35","    10700.90","    10586.15","    10662.35","       18391778","         1159.50"
"11-Aug-2017","    10623.65","    10718.15","    10587.70","    10647.05","       15965456","         1001.16"
"14-Aug-2017","    10669.15","    10692.45","    10569.10","    10587.30","        8348951","          540.54"
"16-Aug-2017","    10621.10","    10683.80","    10575.05","    10659.70","       14447704","          969.65"
"17-Aug-2017","    10784.60","    10839.95","    10688.85","    10797.80","       25035319","         1975.02"
"18-Aug-2017","    10768.00","    10768.00","    10474.70","    10570.00","       94170591","         8492.86"
"21-Aug-2017","    10574.30","    10618.05","    10408.45","    10440.05","       55173908","         4677.74"
"22-Aug-2017","    10533.40","    10541.85","    10422.00","    10446.25","       35284761","         2749.48"
"23-Aug-2017","    10479.65","    10509.60","    10401.05","    10478.25","       38429880","         3228.44"
"24-Aug-2017","    10550.20","    10566.85","    10486.05","    10503.90","       29997784","         2471.85"
"28-Aug-2017","    10603.45","    10638.40","    10574.50","    10592.25","       28758869","         2518.48"
"29-Aug-2017","    10593.00","    10596.15","    10475.50","    10505.95","       15708645","         1155.61"
"30-Aug-2017","    10565.20","    10580.00","    10474.15","    10493.25","       17134070","         1286.97"
"31-Aug-2017","    10528.05","    10578.70","    10453.10","    10558.25","       31920597","         1872.06"
"01-Sep-2017","    10537.60","    10563.80","    10455.65","    10514.35","       14920011","          999.42"
"04-Sep-2017","    10540.00","    10540.10","    10388.25","    10441.75","       17361736","         1162.64"
"05-Sep-2017","    10455.55","    10506.50","    10427.50","    10498.00","       20589123","         1250.48"
"06-Sep-2017","    10472.10","    10484.65","    10407.90","    10421.65","       20789478","         1191.94"
"07-Sep-2017","    10466.05","    10477.30","    10423.25","    10460.95","       13655711","          885.09"
"08-Sep-2017","    10488.95","    10499.30","    10444.30","    10456.65","       16605350","         1049.25"
"11-Sep-2017","    10496.70","    10520.75","    10447.25","    10459.50","       18352976","         1173.47"
"12-Sep-2017","    10514.15","    10517.50","    10443.20","    10501.10","       25304551","         1520.60"
"13-Sep-2017","    10520.75","    10593.00","    10475.90","    10505.30","       23226852","         1316.60"
"14-Sep-2017","    10438.20","    10505.25","    10428.45","    10496.05","       18866410","         1239.84"
"15-Sep-2017","    10519.65","    10621.65","    10479.95","    10599.75","       20721000","         1581.50"
"18-Sep-2017","    10601.40","    10675.05","    10601.35","    10649.50","       16697791","          999.54"
"19-Sep-2017","    10658.35","    10668.65","    10611.90","    10654.80","       11636432","          733.31"
"20-Sep-2017","    10694.00","    10694.00","    10588.15","    10651.35","       11719899","          759.56"
"21-Sep-2017","    10652.55","    10670.75","    10599.95","    10653.80","       15978558","         1221.89"
"22-Sep-2017","    10628.50","    10672.95","    10593.25","    10632.10","       21312591","         1679.38"
"25-Sep-2017","    10604.30","    10653.55","    10513.30","    10569.10","       14593317","         1060.63"
"26-Sep-2017","    10575.20","    10604.15","    10481.95","    10548.50","       11474071","          860.26"
"27-Sep-2017","    10576.25","    10587.05","    10516.40","    10544.20","       13117745","          945.55"
"28-Sep-2017","    10544.15","    10613.25","    10470.55","    10521.90","       26429214","         2067.66"
"29-Sep-2017","    10543.40","    10576.95","    10454.05","    10475.35","       14386793","          828.03"
"03-Oct-2017","    10534.45","    10568.50","    10507.55","    10546.10","       15039017","          837.23"
"04-Oct-2017","    10551.75","    10578.35","    10502.15","    10539.85","       13015477","          663.62"
"05-Oct-2017","    10546.45","    10581.30","    10514.25","    10524.65","       18370082","         1016.61"
